entity_id,name,role,email,department,student_id,staff_id,card_id,device_hash,face_id,note_id,category,text,timestamp_x,booking_id,room_id,start_time,end_time,attended (YES/NO),checkout_id,book_id,timestamp_y
E100000,Neha Mehta,student,user0@campus.edu,CIVIL,S39256,,C3286,DH6d0bd80c8f8e,F100000,,,,,BKG301806,ROOM_A2,9/20/2025 9:38,9/20/2025 12:25,YES,,,
E100000,Neha Mehta,student,user0@campus.edu,CIVIL,S39256,,C3286,DH6d0bd80c8f8e,F100000,,,,,BKG305124,SEM_01,9/10/2025 22:12,9/10/2025 23:16,YES,,,
E100001,Neha Kumar,student,user1@campus.edu,Physics,S14165,,C1488,DH75af13047587,F100001,,,,,,,,,,LC201303,BK1366,2025-09-16 23:54:34
E100002,Neha Singh,student,user2@campus.edu,Admin,S13478,,C4257,DH7a5f80cb6e8d,F100002,N404271,incident,Requesting lab access.,2025-09-02 22:35:06,BKG303325,AUDITORIUM,9/25/2025 9:10,9/25/2025 10:26,YES,,,
E100002,Neha Singh,student,user2@campus.edu,Admin,S13478,,C4257,DH7a5f80cb6e8d,F100002,N406322,rsvp,CCTV near library needs check.,2025-09-20 15:28:25,BKG303325,AUDITORIUM,9/25/2025 9:10,9/25/2025 10:26,YES,,,
E100003,Ishaan Desai,student,user3@campus.edu,Admin,S46463,,C1106,DH3f7f51a6e78d,F100003,,,,,BKG302041,SEM_01,8/28/2025 7:58,8/28/2025 10:49,YES,,,
E100004,Rohan Desai,student,user4@campus.edu,MECH,S38221,,C6514,DH64dfe3d9327e,F100004,,,,,BKG302017,LAB_101,9/12/2025 7:46,9/12/2025 8:42,YES,,,
E100004,Rohan Desai,student,user4@campus.edu,MECH,S38221,,C6514,DH64dfe3d9327e,F100004,,,,,BKG303930,SEM_01,8/28/2025 0:54,8/28/2025 2:28,YES,,,
E100005,Neha Rao,student,user5@campus.edu,BIO,S55082,,C5333,DH266f0f611264,F100005,,,,,BKG305877,ROOM_A1,9/23/2025 16:34,9/23/2025 18:49,YES,,,
E100006,Aarav Gupta,student,user6@campus.edu,Physics,S20328,,C5803,DHd4bf8d375d84,F100006,,,,,BKG301732,LAB_102,9/17/2025 9:06,9/17/2025 10:31,YES,LC200435,BK1570,2025-09-21 02:48:49
E100006,Aarav Gupta,student,user6@campus.edu,Physics,S20328,,C5803,DHd4bf8d375d84,F100006,,,,,BKG301732,LAB_102,9/17/2025 9:06,9/17/2025 10:31,YES,LC200626,BK1879,2025-09-15 22:39:26
E100006,Aarav Gupta,student,user6@campus.edu,Physics,S20328,,C5803,DHd4bf8d375d84,F100006,,,,,BKG301732,LAB_102,9/17/2025 9:06,9/17/2025 10:31,YES,LC203258,BK2253,2025-09-01 23:37:30
E100006,Aarav Gupta,student,user6@campus.edu,Physics,S20328,,C5803,DHd4bf8d375d84,F100006,,,,,BKG306349,LAB_101,9/18/2025 20:51,9/18/2025 21:34,YES,LC200435,BK1570,2025-09-21 02:48:49
E100006,Aarav Gupta,student,user6@campus.edu,Physics,S20328,,C5803,DHd4bf8d375d84,F100006,,,,,BKG306349,LAB_101,9/18/2025 20:51,9/18/2025 21:34,YES,LC200626,BK1879,2025-09-15 22:39:26
E100006,Aarav Gupta,student,user6@campus.edu,Physics,S20328,,C5803,DHd4bf8d375d84,F100006,,,,,BKG306349,LAB_101,9/18/2025 20:51,9/18/2025 21:34,YES,LC203258,BK2253,2025-09-01 23:37:30
E100007,Sana Patel,student,user7@campus.edu,ECE,S16006,,C4733,DH3600590b4e1e,F100007,N406840,maintenance,Broken chair in seminar room.,2025-09-15 15:42:59,BKG301509,LAB_101,9/10/2025 0:01,9/10/2025 2:19,YES,LC200019,BK2266,2025-09-10 05:04:05
E100007,Sana Patel,student,user7@campus.edu,ECE,S16006,,C4733,DH3600590b4e1e,F100007,N406840,maintenance,Broken chair in seminar room.,2025-09-15 15:42:59,BKG301509,LAB_101,9/10/2025 0:01,9/10/2025 2:19,YES,LC201755,BK2064,2025-08-31 18:06:51
E100007,Sana Patel,student,user7@campus.edu,ECE,S16006,,C4733,DH3600590b4e1e,F100007,N406840,maintenance,Broken chair in seminar room.,2025-09-15 15:42:59,BKG304189,LAB_101,9/20/2025 22:58,9/21/2025 0:45,YES,LC200019,BK2266,2025-09-10 05:04:05
E100007,Sana Patel,student,user7@campus.edu,ECE,S16006,,C4733,DH3600590b4e1e,F100007,N406840,maintenance,Broken chair in seminar room.,2025-09-15 15:42:59,BKG304189,LAB_101,9/20/2025 22:58,9/21/2025 0:45,YES,LC201755,BK2064,2025-08-31 18:06:51
E100007,Sana Patel,student,user7@campus.edu,ECE,S16006,,C4733,DH3600590b4e1e,F100007,N406840,maintenance,Broken chair in seminar room.,2025-09-15 15:42:59,BKG306226,ROOM_A1,9/25/2025 16:55,9/25/2025 19:44,YES,LC200019,BK2266,2025-09-10 05:04:05
E100007,Sana Patel,student,user7@campus.edu,ECE,S16006,,C4733,DH3600590b4e1e,F100007,N406840,maintenance,Broken chair in seminar room.,2025-09-15 15:42:59,BKG306226,ROOM_A1,9/25/2025 16:55,9/25/2025 19:44,YES,LC201755,BK2064,2025-08-31 18:06:51
E100008,Siddharth Rao,staff,user8@campus.edu,Physics,,T4277,C8428,DH49719e8080dc,F100008,N403177,feedback,Requesting lab access.,2025-09-02 02:53:56,,,,,,LC203583,BK2380,2025-09-13 02:54:48
E100008,Siddharth Rao,staff,user8@campus.edu,Physics,,T4277,C8428,DH49719e8080dc,F100008,N404435,rsvp,Wi-Fi not working in hostel block.,2025-09-14 19:34:32,,,,,,LC203583,BK2380,2025-09-13 02:54:48
E100009,Ananya Sharma,student,user9@campus.edu,CIVIL,S97841,,C5374,DH6ce40c9822a2,F100009,,,,,BKG301002,SEM_01,9/21/2025 5:35,9/21/2025 6:25,YES,,,
E100010,Neha Malhotra,student,user10@campus.edu,Maths,S42087,,C3677,DHae1a6027ce25,F100010,N401599,feedback,Confirmed attendance for robotics workshop.,2025-09-14 08:18:45,BKG301168,ROOM_A1,9/21/2025 15:13,9/21/2025 17:10,YES,LC202239,BK1318,2025-09-06 06:17:46
E100010,Neha Malhotra,student,user10@campus.edu,Maths,S42087,,C3677,DHae1a6027ce25,F100010,N401599,feedback,Confirmed attendance for robotics workshop.,2025-09-14 08:18:45,BKG301168,ROOM_A1,9/21/2025 15:13,9/21/2025 17:10,YES,LC204245,BK1373,2025-09-19 03:36:24
E100010,Neha Malhotra,student,user10@campus.edu,Maths,S42087,,C3677,DHae1a6027ce25,F100010,N401599,feedback,Confirmed attendance for robotics workshop.,2025-09-14 08:18:45,BKG302757,AUDITORIUM,9/5/2025 2:05,9/5/2025 3:47,YES,LC202239,BK1318,2025-09-06 06:17:46
E100010,Neha Malhotra,student,user10@campus.edu,Maths,S42087,,C3677,DHae1a6027ce25,F100010,N401599,feedback,Confirmed attendance for robotics workshop.,2025-09-14 08:18:45,BKG302757,AUDITORIUM,9/5/2025 2:05,9/5/2025 3:47,YES,LC204245,BK1373,2025-09-19 03:36:24
E100010,Neha Malhotra,student,user10@campus.edu,Maths,S42087,,C3677,DHae1a6027ce25,F100010,N401599,feedback,Confirmed attendance for robotics workshop.,2025-09-14 08:18:45,BKG303118,LAB_305,9/7/2025 0:39,9/7/2025 3:07,YES,LC202239,BK1318,2025-09-06 06:17:46
E100010,Neha Malhotra,student,user10@campus.edu,Maths,S42087,,C3677,DHae1a6027ce25,F100010,N401599,feedback,Confirmed attendance for robotics workshop.,2025-09-14 08:18:45,BKG303118,LAB_305,9/7/2025 0:39,9/7/2025 3:07,YES,LC204245,BK1373,2025-09-19 03:36:24
E100011,Divya Desai,student,user11@campus.edu,Maths,S38785,,C6313,DH24b365443a6e,F100011,N402809,incident,Confirmed attendance for robotics workshop.,2025-09-20 10:41:12,BKG303954,LAB_102,9/12/2025 21:29,9/13/2025 0:03,YES,LC206882,BK2255,2025-08-30 19:18:03
E100011,Divya Desai,student,user11@campus.edu,Maths,S38785,,C6313,DH24b365443a6e,F100011,N402809,incident,Confirmed attendance for robotics workshop.,2025-09-20 10:41:12,BKG304811,ROOM_A1,9/13/2025 16:42,9/13/2025 17:40,YES,LC206882,BK2255,2025-08-30 19:18:03
E100011,Divya Desai,student,user11@campus.edu,Maths,S38785,,C6313,DH24b365443a6e,F100011,N402809,incident,Confirmed attendance for robotics workshop.,2025-09-20 10:41:12,BKG305261,ROOM_A1,9/14/2025 23:45,9/15/2025 1:20,YES,LC206882,BK2255,2025-08-30 19:18:03
E100011,Divya Desai,student,user11@campus.edu,Maths,S38785,,C6313,DH24b365443a6e,F100011,N406420,rsvp,Requesting lab access.,2025-09-23 05:13:09,BKG303954,LAB_102,9/12/2025 21:29,9/13/2025 0:03,YES,LC206882,BK2255,2025-08-30 19:18:03
E100011,Divya Desai,student,user11@campus.edu,Maths,S38785,,C6313,DH24b365443a6e,F100011,N406420,rsvp,Requesting lab access.,2025-09-23 05:13:09,BKG304811,ROOM_A1,9/13/2025 16:42,9/13/2025 17:40,YES,LC206882,BK2255,2025-08-30 19:18:03
E100011,Divya Desai,student,user11@campus.edu,Maths,S38785,,C6313,DH24b365443a6e,F100011,N406420,rsvp,Requesting lab access.,2025-09-23 05:13:09,BKG305261,ROOM_A1,9/14/2025 23:45,9/15/2025 1:20,YES,LC206882,BK2255,2025-08-30 19:18:03
E100012,Aarav Singh,faculty,user12@campus.edu,Physics,,T4193,C2084,DHe013ac02b796,F100012,,,,,BKG301531,AUDITORIUM,8/28/2025 4:27,8/28/2025 5:50,YES,LC200594,BK1116,2025-08-28 15:27:15
E100012,Aarav Singh,faculty,user12@campus.edu,Physics,,T4193,C2084,DHe013ac02b796,F100012,,,,,BKG304660,ROOM_A2,8/31/2025 14:04,8/31/2025 16:45,YES,LC200594,BK1116,2025-08-28 15:27:15
E100012,Aarav Singh,faculty,user12@campus.edu,Physics,,T4193,C2084,DHe013ac02b796,F100012,,,,,BKG305857,ROOM_A2,9/25/2025 13:26,9/25/2025 16:04,YES,LC200594,BK1116,2025-08-28 15:27:15
E100013,Priya Malhotra,faculty,user13@campus.edu,CIVIL,,T7369,C9179,DH9fd3cfad0b8a,F100013,,,,,,,,,,LC205523,BK1461,2025-08-27 12:20:45
